objectid,filename,title-es,creator,description-es,date,locations_es,location_first_#NAME?,location_first_es,latitude_first,longitude_first,location_second_#NAME?,location_second_es,latitude_second,longitude_second,location_third_#NAME?,location_third_es,latitude_third,longitude_third,location_fourth_#NAME?,location_fourth_es,latitude_fourth,longitude_fourth,subject-es,language,source,format,type,rights,rightsstatement,vimeoid,youtubeid,#NAME?,#NAME?,#NAME?,#NAME?,gender-strategy,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,LND_or_LNI,#NAME?,#NAME?,#NAME?,#NAME?,university-collection,parentid,image_thumb,embedding_webpage
amiguedatecuenta,https://leseditorial.com/libro/no-ficcion/amigue-date-cuenta/,"Amigue, Date Cuenta: Por Qué, Cómo y para Qué Deberías Usar el Lenguaje No Binario",Gabriel D’Artemius;Begoña Martínez Pagán,,2024,Murcia;Spain,,Murcia,37.98704,-1.13004,,Spain,,,,,,,,,,,Material pedagógico,Spanish,Les Editorial,application/html,Book,copyrighted,,,,"Amigue, Date Cuenta: Por Qué, Cómo y para Qué Deberías Usar el Lenguaje No Binario",Manual on how to use gender-inclusive language in Spanish.,Murcia;Spain,Pedagogical material,letra-e,"Amigue, Date Cuenta: Por Qué, Cómo y para Qué Deberías Usar el Lenguaje No Binario",Manual on how to use gender-inclusive language in Spanish.,Murcia;Spain,Pedagogical material,"Amigue, Date Cuenta: Por Qué, Cómo y para Qué Deberías Usar el Lenguaje No Binario",Manual on how to use gender-inclusive language in Spanish.,Murcia;Spain,Pedagogical material,Direct Non-Binary Spanish,"Amigue, Date Cuenta: Por Qué, Cómo y para Qué Deberías Usar el Lenguaje No Binario",Manual on how to use gender-inclusive language in Spanish.,Murcia;Spain,Pedagogical material,,,https://leseditorial.com/wp-content/uploads/2024/05/AMIGUE-portada-WEB-1.jpg,
varela,https://www.u-topicas.com/libro/varela_15910,Varela,Tegan Mai Guanco,,2022,"Buenos Aires;Argentina
",,Buenos Aires,-34.61315,-58.37723,,Argentina,,,,,,,,,,,Poesía,Spanish,Puntos Suspensivos Ediciones,application/html,Book,copyrighted,,,,Varela,Anthology of poems by the trans author Tegan Mai Guanco.,"Buenos Aires;Argentina
",Poetry,letra-x;letra-e,Varela,Anthology of poems by the trans author Tegan Mai Guanco.,"Buenos Aires;Argentina
",Poetry,Varela,Anthology of poems by the trans author Tegan Mai Guanco.,"Buenos Aires;Argentina
",Poetry,Direct Non-Binary Spanish,Varela,Anthology of poems by the trans author Tegan Mai Guanco.,"Buenos Aires;Argentina
",Poetry,,,https://www.u-topicas.com/imagenes_grandes/9789878/978987842822.JPG,
loquepasaenlapiel,https://laninaazul.es/tienda/lo-que-pasa-en-la-piel/,Lo que pasa en la piel,Morgan Herbas Loureiro,,2023,Madrid;Spain,,Madrid,40.4165,-3.70256,,Spain,,,,,,,,,,,Narrativa,Spanish,La Niña Azul,application/html,Book,copyrighted,,,,Lo que pasa en la piel,,Madrid;Spain,Narrative,,Lo que pasa en la piel,,Madrid;Spain,Narrative,Lo que pasa en la piel,,Madrid;Spain,Narrative,Direct Non-Binary Spanish,Lo que pasa en la piel,,Madrid;Spain,Narrative,,,https://www.libreriaberkana.com/media/img/portadas/lo-que-pasa-en-la-piel_9788412356373.png,
laconspiraciondelxsninxs,https://editorialcactus.com.ar/wp-content/uploads/2023/08/Camille-Louis-La-conspiracion-de-lxs-ninxs-ADELANTO.pdf,La conspiración de lxs niñxs,Camille Louis,,2023,France;Spain,,France,46.22764,2.21375,,Spain,,,,,,,,,,,Narrativa,Spanish,Cactus,application/pdf,Book,copyrighted,,,,La conspiración de lxs niñxs,"Originally written with the gender-inclusive title ""La conspiration des enfants,"" the translator from Spain utilized Direct Non-Binary Spanish to translate the work.",France;Spain,Narrative,letra-x,La conspiración de lxs niñxs,"Originally written with the gender-inclusive title ""La conspiration des enfants,"" the translator from Spain utilized Direct Non-Binary Spanish to translate the work.",France;Spain,Narrative,La conspiración de lxs niñxs,"Originally written with the gender-inclusive title ""La conspiration des enfants,"" the translator from Spain utilized Direct Non-Binary Spanish to translate the work.",France;Spain,Narrative,Direct Non-Binary Spanish,La conspiración de lxs niñxs,"Originally written with the gender-inclusive title ""La conspiration des enfants,"" the translator from Spain utilized Direct Non-Binary Spanish to translate the work.",France;Spain,Narrative,,,https://editorialcactus.com.ar/wp-content/uploads/2023/08/120.jpg,
antologiadepoesiat,https://www.puntossuspensivosediciones.com.ar/productos/antologia-de-poesia-trava-trans-no-binarie/,Antología de poesía trava/trans*/no binarie,Ese Lx Negrx;Blas Radi,,2019,"Buenos Aires;Argentina
",,Buenos Aires,-34.61315,-58.37723,,Argentina,,,,,,,,,,,Poesía;Narrativa,Spanish,Puntos Suspensivos Ediciones,application/html,Book,copyrighted,,,,Antología de poesía trava/trans*/no binarie,Anthology of poems written by trans and non-binary authors.,"Buenos Aires;Argentina
",Poetry;Narrative,letra-x;letra-e,Antología de poesía trava/trans*/no binarie,Anthology of poems written by trans and non-binary authors.,"Buenos Aires;Argentina
",Poetry;Narrative,Antología de poesía trava/trans*/no binarie,Anthology of poems written by trans and non-binary authors.,"Buenos Aires;Argentina
",Poetry;Narrative,Direct Non-Binary Spanish;Indirect Non-Binary Spanish,Antología de poesía trava/trans*/no binarie,Anthology of poems written by trans and non-binary authors.,"Buenos Aires;Argentina
",Poetry;Narrative,,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629227822i/58795754.jpg,
vikingabonsai,https://eternacadencia.com.ar/blog/vikinga-bonsai-?srsltid=AfmBOorao1NJOiwAlmkR4112CE2rBjZECAqmtbSaEJt-iKN7HpE9IJPV,Vikinga Bonsái,Ana Ojeda,,2019,"Buenos Aires;Argentina
",,Buenos Aires,-34.61315,-58.37723,,Argentina,,,,,,,,,,,Narrativa,Spanish,Puntos Suspensivos Ediciones,application/html,Book,copyrighted,,,,Vikinga Bonsái,"Argentinian novel, often referred to as the first novel in gender-inclusive Spanish.","Buenos Aires;Argentina
",Narrative,letra-e,Vikinga Bonsái,"Argentinian novel, often referred to as the first novel in gender-inclusive Spanish.","Buenos Aires;Argentina
",Narrative,Vikinga Bonsái,"Argentinian novel, often referred to as the first novel in gender-inclusive Spanish.","Buenos Aires;Argentina
",Narrative,Direct Non-Binary Spanish,Vikinga Bonsái,"Argentinian novel, often referred to as the first novel in gender-inclusive Spanish.","Buenos Aires;Argentina
",Narrative,,,https://cdn.luna.com.uy/eternacadencia.com.ar/files/tmp/compressed/normal/y4ian9nutn13vzltw75s.jpg,
futuroproblema,https://www.elementodisruptivo.com.ar/ninxs-de-los-90/futuro-problema-marico-carmona,Futuro problema,Marico Carmona,,2019,Buenos Aires;Argentina,,Buenos Aires,-34.61315,-58.37723,,Argentina,,,,,,,,,,,Narrativa,Spanish,,application/html,Book,copyrighted,,,,Futuro problema,Poetry book featuring direct non-binary Spanish.,Buenos Aires;Argentina,Narrative,letra-e,Futuro problema,Poetry book featuring direct non-binary Spanish.,Buenos Aires;Argentina,Narrative,Futuro problema,Poetry book featuring direct non-binary Spanish.,Buenos Aires;Argentina,Narrative,Direct Non-Binary Spanish,Futuro problema,Poetry book featuring direct non-binary Spanish.,Buenos Aires;Argentina,Narrative,,,https://d22fxaf9t8d39k.cloudfront.net/346feb2d0fe9ef18050fb526f99dab158acccf0b13c05de4ea586ad039bbca3d17493.png,
prometofallar,https://www.puntossuspensivosediciones.com.ar/productos/prometo-fallar-de-marico-carmona-ebook/?srsltid=AfmBOopBFu6u3Krh8tDKU4pz1ELLahn130SdRmiEk6Jr14NAu4bTQ5ip,Prometo fallar,Marico Carmona,,2022,"Buenos Aires;Argentina
",,Buenos Aires,-34.61315,-58.37723,,Argentina,,,,,,,,,,,Poesía,Spanish,,application/html,Book,copyrighted,,,,Prometo fallar,Poetry book featuring direct non-binary Spanish.,"Buenos Aires;Argentina
",Poetry,letra-e,Prometo fallar,Poetry book featuring direct non-binary Spanish.,"Buenos Aires;Argentina
",Poetry,Prometo fallar,Poetry book featuring direct non-binary Spanish.,"Buenos Aires;Argentina
",Poetry,Direct Non-Binary Spanish,Prometo fallar,Poetry book featuring direct non-binary Spanish.,"Buenos Aires;Argentina
",Poetry,,,https://raw.githubusercontent.com/eugestumm/gender-inclusive-spanish-digital-archive/01a3319240d3f94f34ab95f59476a28b1b5e58fe/objects/prometofallar.jpg,
martesverde,https://desarquivo.org/sites/default/files/martesverdefederaldigital.pdf,Martes Verde,Poetas por el Derecho al Aborto Legal,,2018,Argentina,,Argentina,-34.6069,-58.3946,,,,,,,,,,,,,Poesía,Spanish,,application/pdf,Book,open-access,,,,Martes Verde,Poetry anthology containing poems read during the 2018's protests in Argentina for reproductive rights. ,Argentina,Poetry,letra-e;letra-x,Martes Verde,Poetry anthology containing poems read during the 2018's protests in Argentina for reproductive rights. ,Argentina,Poetry,Martes Verde,Poetry anthology containing poems read during the 2018's protests in Argentina for reproductive rights. ,Argentina,Poetry,Direct Non-Binary Spanish;Indirect Non-Binary Spanish,Martes Verde,Poetry anthology containing poems read during the 2018's protests in Argentina for reproductive rights. ,Argentina,Poetry,,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1540571611i/42443677.jpg,
sorjuanasonetos,https://www.cervantesvirtual.com/obra-visor/sonetos--2/html/61493946-8375-479f-b217-2becd410b790_2.html#I_9_,Sonetos,Sor Juana Inés de la Cruz,,1695,Mexico,,Mexico,19.0274,-98.8225,,,,,,,,,,,,,Producción colonial,,Biblioteca Virtual Miguel de Cervantes,application/html,Book,public domain,,,,Sonetos,"1695 is the date of her death, the edited volume was published in 2006. ",Mexico,Colonial Production,,Sonetos,"1695 is the date of her death, the edited volume was published in 2006. ",Mexico,Colonial Production,Sonetos,"1695 is the date of her death, the edited volume was published in 2006. ",Mexico,Colonial Production,Indirect Non-Binary Spanish,Sonetos,"1695 is the date of her death, the edited volume was published in 2006. ",Mexico,Colonial Production,,,https://raw.githubusercontent.com/eugestumm/gender-inclusive-spanish-digital-archive/77d582bbca1f4877ba20f5d2850b8ae9977c237a/objects/sorjuana.jpg,
acostamatos,https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=2045&context=cc_pubs,Graphic Representations of Grammatical Gender in Spanish Language Anarchist Publications,Mariel Mercedes Acosta Matos,,2018,United States,,United States,40.748,-73.984,,,,,,,,,,,,,Trabajo académico,,Anarchist Developments in Cultural Studies,application/pdf,Academic Article,open-access,,,,Graphic Representations of Grammatical Gender in Spanish Language Anarchist Publications,Article analyzing how anarchist Spanish publications used visual and grammatical strategies to challenge gender binaries.,United States,Academic Work,letra-x;arroba;letra-e,Graphic Representations of Grammatical Gender in Spanish Language Anarchist Publications,Article analyzing how anarchist Spanish publications used visual and grammatical strategies to challenge gender binaries.,United States,Academic Work,Graphic Representations of Grammatical Gender in Spanish Language Anarchist Publications,Article analyzing how anarchist Spanish publications used visual and grammatical strategies to challenge gender binaries.,United States,Academic Work,Direct Non-Binary Spanish,Graphic Representations of Grammatical Gender in Spanish Language Anarchist Publications,Article analyzing how anarchist Spanish publications used visual and grammatical strategies to challenge gender binaries.,United States,Academic Work,,,https://i1.rgstatic.net/publication/327219834_Graphic_Representations_of_Grammatical_Gender_in_Spanish_Language_Anarchist_Publications/links/5b80c51ca6fdcc5f8b65905b/largepreview.png,
